player_id,name,class,signup_spec,signup_role,signup_item_level,claimed_offspec,progress_display,achievement_verified,public_economy_claim,whisper_pool
P021,玄青,德鲁伊,熊德,坦克,214,,小号无成就,否,全通打工,熊德 111|熊德 1|熊德 小号会打
P022,旧梦,死亡骑士,血DK,坦克,222,冰DK,10人12/14,是,消费2w,血DK 熟练|血DK 可切冰DK|血DK 大号全通
P023,夏末,法师,奥法,远程DPS,229,,10人9/14,是,有提升就拿,奥法 全通经验|奥法 111|奥法 包会
P024,微光,死亡骑士,邪DK,近战DPS,224,,小号无成就,否,有消费,邪DK 大号全通|邪DK 1|邪DK 熟练
P025,半夏,圣骑士,奶骑,治疗,212,,小号无成就,否,全通打工,奶骑 全通打工|奶骑 成就在大号|奶骑 1
P026,山岚,死亡骑士,血DK,坦克,222,邪DK,无链接,否,熟练工,血DK 熟练|血DK 1|血DK 包会
P027,鸣沙,战士,狂暴战,近战DPS,230,武器战,10人12/14,是,有消费,狂暴战 全通经验|狂暴战 有消费|狂暴战 听指挥
P028,云雀,牧师,神牧,治疗,229,戒律牧,大号全通,否,打工,神牧 可切戒律牧|神牧 熟练|神牧 小号会打
P029,寒舟,德鲁伊,奶德,治疗,216,鸟德,10人9/14,是,半打半消,奶德 半打半消|奶德 小号会打|奶德 可切鸟德
P030,朝夕,猎人,生存猎,远程DPS,226,,10人9/14,是,全通打工,生存猎 全通经验|生存猎 小号会打|生存猎 全通打工
P031,夜阑,法师,火法,远程DPS,215,奥法,小号无成就,否,有消费,火法 包会|火法 111|火法 大号全通
P032,鹿鸣,圣骑士,奶骑,治疗,224,防骑,10人9/14,是,有便宜就拿,奶骑 小号会打|奶骑 听指挥|奶骑 1
P033,沉舟,术士,恶魔术,远程DPS,217,,大号全通,否,有消费,恶魔术 成就在大号|恶魔术 听指挥|恶魔术 111
P034,白夜,战士,防战,坦克,220,武器战,小号无成就,否,全通打工,防战 小号会打|防战 全通经验|防战 听指挥
P035,无咎,战士,武器战,近战DPS,221,狂暴战,大号全通,否,消费,武器战 111|武器战 大号全通|武器战 全通经验
P036,洛川,萨满,元素,远程DPS,218,奶萨,小号无成就,否,熟练工,元素 熟练工|元素 1|元素 全通经验
P037,流火,圣骑士,惩戒,近战DPS,222,奶骑,无链接,否,打工消费,惩戒 成就在大号|惩戒 打工消费|惩戒 1
P038,东篱,死亡骑士,邪DK,近战DPS,224,,大号全通,否,打工消费,邪DK 成就在大号|邪DK 包会|邪DK 1
P039,清昼,德鲁伊,猫德,近战DPS,230,熊德、鸟德,小号无成就,否,缺武器饰品,猫德 熟练|猫德 小号会打|猫德 听指挥
P040,暮云,死亡骑士,冰DK,近战DPS,218,,差观星,否,有消费,冰DK 听指挥|冰DK 大号全通|冰DK 熟练
P041,霜序,德鲁伊,熊德,坦克,221,猫德,10人9/14,是,消费,熊德 111|熊德 大号全通|熊德 小号会打
P042,千帆,萨满,元素,远程DPS,216,奶萨,大号全通,否,半打半消,元素 小号会打|元素 成就在大号|元素 111
P043,飞白,萨满,增强,近战DPS,221,奶萨,10人12/14,是,半打半消,增强 可切奶萨|增强 111|增强 小号会打
P044,渡鸦,牧师,暗牧,远程DPS,216,戒律牧,10人12/14,是,全通打工,暗牧 1|暗牧 听指挥|暗牧 111
P045,远山,战士,武器战,近战DPS,214,狂暴战,小号无成就,否,打工,武器战 可切狂暴战|武器战 111|武器战 熟练
P046,风眠,牧师,戒律牧,治疗,228,暗牧,10人9/14,是,半打半消,戒律牧 包会|戒律牧 全通经验|戒律牧 听指挥
P047,暮色,德鲁伊,鸟德,远程DPS,211,奶德,无链接,否,看掉落,鸟德 可切奶德|鸟德 成就在大号|鸟德 熟练
P048,朔风,圣骑士,防骑,坦克,216,,大号全通,否,打工,防骑 包会|防骑 熟练|防骑 大号全通
P049,木鱼,术士,恶魔术,远程DPS,218,,差观星,否,有消费,恶魔术 熟练|恶魔术 有消费|恶魔术 包会
P050,初七,萨满,奶萨,治疗,224,,小号无成就,否,有便宜就拿,奶萨 111|奶萨 1|奶萨 熟练
P051,既白,盗贼,战斗贼,近战DPS,226,刺杀贼,10人全通,是,消费,战斗贼 熟练|战斗贼 可切刺杀贼|战斗贼 小号会打
P052,见山,圣骑士,防骑,坦克,210,,10人全通,是,打工,防骑 全通经验|防骑 打工|防骑 听指挥
P053,西洲,战士,防战,坦克,228,,10人全通,是,缺毕业装,防战 小号会打|防战 听指挥|防战 包会
P054,停云,德鲁伊,鸟德,远程DPS,229,奶德,4H,是,有提升就拿,鸟德 有提升就拿|鸟德 熟练|鸟德 小号会打
P055,雾隐,德鲁伊,奶德,治疗,225,猫德,4H,是,消费,奶德 包会|奶德 111|奶德 听指挥
P056,檀溪,死亡骑士,血DK,坦克,221,,10人9/14,是,熟练工,血DK 熟练|血DK 111|血DK 听指挥
P057,微尘,圣骑士,奶骑,治疗,225,防骑,小号无成就,否,消费2w,奶骑 听指挥|奶骑 包会|奶骑 成就在大号
P058,蓝桥,战士,防战,坦克,223,,10人全通,是,缺毕业装,防战 缺毕业装|防战 熟练|防战 大号全通
P059,时雨,术士,痛苦术,远程DPS,213,,小号无成就,否,只收极品,痛苦术 只收极品|痛苦术 111|痛苦术 大号全通
P060,清和,术士,痛苦术,远程DPS,216,恶魔术,小号无成就,否,缺毕业装,痛苦术 听指挥|痛苦术 1|痛苦术 缺毕业装
P061,若木,萨满,奶萨,治疗,220,,小号无成就,否,打工,奶萨 成就在大号|奶萨 111|奶萨 小号会打
P062,江离,盗贼,战斗贼,近战DPS,217,,4H,是,看武器消费,战斗贼 包会|战斗贼 111|战斗贼 全通经验
P063,枕星,法师,奥法,远程DPS,223,,10人12/14,是,熟练工,奥法 听指挥|奥法 1|奥法 大号全通
P064,墨池,圣骑士,惩戒,近战DPS,225,防骑,10人全通,是,打工,惩戒 可切防骑|惩戒 全通经验|惩戒 包会
P065,长安,牧师,神牧,治疗,216,,10人9/14,是,打工,神牧 熟练|神牧 小号会打|神牧 包会
P066,惊鸿,牧师,戒律牧,治疗,225,,小号无成就,否,消费2w,戒律牧 大号全通|戒律牧 成就在大号|戒律牧 全通经验
P067,松间,战士,狂暴战,近战DPS,231,防战,无链接,否,消费,狂暴战 全通经验|狂暴战 听指挥|狂暴战 包会
P068,行舟,萨满,增强,近战DPS,212,奶萨,10人12/14,是,有消费,增强 有消费|增强 大号全通|增强 全通经验
P069,云归,牧师,暗牧,远程DPS,219,神牧,大号全通,否,熟练工,暗牧 熟练|暗牧 1|暗牧 可切神牧
P070,暗香,法师,火法,远程DPS,224,,10人9/14,是,打工,火法 听指挥|火法 全通经验|火法 111
P071,望舒,战士,狂暴战,近战DPS,227,防战,10人9/14,是,半打半消,狂暴战 111|狂暴战 包会|狂暴战 熟练
P072,清浅,猎人,生存猎,远程DPS,229,,大号全通,否,有消费,生存猎 1|生存猎 有消费|生存猎 111
P073,楚辞,萨满,奶萨,治疗,226,,10人9/14,是,消费2w,奶萨 听指挥|奶萨 消费2w|奶萨 包会
P074,新月,德鲁伊,奶德,治疗,207,,小号无成就,否,有消费,奶德 1|奶德 小号会打|奶德 包会
P075,归鸿,法师,奥法,远程DPS,215,,大号全通,否,半打半消,奥法 1|奥法 111|奥法 半打半消
P076,千屿,猎人,射击猎,远程DPS,230,生存猎,10人9/14,是,有消费,射击猎 大号全通|射击猎 小号会打|射击猎 听指挥
P077,青禾,德鲁伊,猫德,近战DPS,231,,小号无成就,否,消费2w,猫德 包会|猫德 1|猫德 大号全通
P078,临渊,萨满,元素,远程DPS,222,奶萨,10人9/14,是,只收极品,元素 听指挥|元素 小号会打|元素 可切奶萨
P079,余晖,盗贼,刺杀贼,近战DPS,214,,10人12/14,是,有消费,刺杀贼 有消费|刺杀贼 熟练|刺杀贼 包会
P080,知秋,牧师,戒律牧,治疗,225,神牧,小号无成就,否,打工,戒律牧 成就在大号|戒律牧 包会|戒律牧 大号全通
P081,多多虎,萨满,元素,远程DPS,221,奶萨,无链接,否,有合适就拿,元素 双修|元素奶双修|元素 可切奶萨
P082,动与参与商,牧师,戒律牧,治疗,224,神牧,全通经验（自述）,否,极品必拿,戒律牧 1|戒律牧 双修|戒律牧 可切神牧
P083,芙兰秀秀,圣骑士,防骑,坦克,226,惩戒,无链接,否,毕业必拿,强力防骑|防骑 强力|防骑 装备好
P084,萌战,战士,狂暴战,近战DPS,229,武器战,无链接,否,合理出价,狂暴战|狂暴 1|狂暴战 全通经验
P085,成都漫游者,盗贼,战斗贼,近战DPS,219,,全通经验（自述）,否,合理出价,全通盗贼|战斗贼 全通经验|战斗贼 1
P086,汉祚将尽,猎人,生存猎,远程DPS,226,,10人12/14,否,少量消费,强力猎人
P087,愤怒月神,德鲁伊,鸟德,远程DPS,219,奶德,无链接,否,容易上头,4修
P088,美味小熊饼干,术士,恶魔术,远程DPS,227,,10人全通,是,毕业必拿,全通经验
P089,魅惑灵魂之火,术士,痛苦术,远程DPS,220,,10人12/14,否,只捡漏,1
P090,血暮残影,圣骑士,奶骑,治疗,214,惩戒,小号无成就,否,只捡漏,奶骑可dps
P091,姆巴妹,死亡骑士,邪DK,近战DPS,226,血DK,10人12/14,否,大老板,全修DK
P092,初中肄业,圣骑士,防骑,坦克,231,,10人全通,是,毕业必买,毕业T
P093,茗依,牧师,暗牧,远程DPS,223,戒律牧,10人全通,是,实力消费,暗牧可戒律
