player_id,spec,role,character_item_level,skill,boss_experience,willing_switch,publicly_claimed
P087,熊德,坦克,219,55,34,是,是
P088,恶魔术,远程DPS,227,60,85,是,是
P089,痛苦术,远程DPS,220,65,70,是,是
P090,惩戒,近战DPS,214,60,45,是,是
P090,奶骑,治疗,214,70,52,是,是
P091,邪DK,近战DPS,226,70,58,是,是
P091,血DK,坦克,226,60,45,是,是
P092,防骑,坦克,231,95,98,是,是
P093,暗牧,远程DPS,223,85,90,是,是
P093,戒律牧,治疗,223,80,88,是,是
P094,奶德,治疗,225,65,72,是,是
P094,鸟德,远程DPS,225,75,82,是,是
P095,火法,远程DPS,215,95,90,是,是
P096,暗牧,远程DPS,228,50,70,是,是
P096,戒律牧,治疗,228,70,86,是,是
P097,刺杀贼,近战DPS,228,80,85,是,是
P098,奶萨,治疗,217,50,35,是,是
P098,元素,远程DPS,217,65,42,是,是
P099,暗牧,远程DPS,225,40,25,是,是
P099,戒律牧,治疗,225,70,35,是,是
P100,射击猎,远程DPS,220,70,84,是,是
P101,猫德,近战DPS,215,55,35,是,是
P101,奶德,治疗,215,65,35,是,是
P101,熊德,坦克,215,75,35,是,是
P102,奶萨,治疗,215,85,80,是,是
P103,火法,远程DPS,227,85,90,是,是
P104,火法,远程DPS,224,87,90,是,是
P105,恶魔术,远程DPS,232,85,90,是,是
P105,痛苦术,远程DPS,232,82,88,是,是
P106,鸟德,远程DPS,216,77,75,是,是
P107,刺杀贼,近战DPS,232,90,90,是,是
P108,刺杀贼,近战DPS,222,40,20,是,是
P109,暗牧,远程DPS,222,65,58,是,是
P110,鸟德,远程DPS,220,80,72,是,是
P111,冰DK,近战DPS,220,80,70,是,是
P112,射击猎,远程DPS,220,80,52,是,是
P113,奥法,远程DPS,218,72,48,是,是
P114,战斗贼,近战DPS,226,85,48,是,是
P115,奥法,远程DPS,217,50,20,是,是
P116,痛苦术,远程DPS,215,68,42,是,是
P117,奶萨,治疗,220,50,20,是,是
P118,奶骑,治疗,225,90,35,是,是
P119,奶萨,治疗,221,73,48,是,是
P120,邪DK,近战DPS,231,95,98,是,是
P120,血DK,坦克,231,88,98,是,是
