loot_id,boss_id,drop_group,item_name,slot,category,eligible_tags,grade,start_price_gold,reference_price_gold,weight,source_url,note,item_id,icon_file
L012,B02,普通,熔炉之石,饰品,饰品,坦克,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45313,45313.jpg
L013,B02,普通,白金卫士火枪,枪,武器,猎人,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45309,45309.jpg
L014,B02,普通,无情之刃,长柄,武器,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45311,45311.jpg
L015,B03,普通,龙类狡诈指环,戒指,首饰,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45303,45303.jpg
L016,B03,普通,龙母腰带,布甲腰,护甲,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45306,45306.jpg
L017,B03,普通,锋鳞之爪,单手剑,武器,物理DPS|坦克,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45298,45298.jpg
L018,B03,普通,龙钢面甲,板甲头,护甲,坦克,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45299,45299.jpg
L019,B03,普通,风暴锻造束带,板甲腰,护甲,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45304,45304.jpg
L020,B03,普通,龙母之眼,饰品,饰品,法系DPS|治疗,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45308,45308.jpg
L021,B04,普通,能量强化指环,戒指,首饰,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45675,45675.jpg
L022,B04,普通,等离子薄片,匕首,武器,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45685,45685.jpg
L023,B04,普通,脉冲魔法之盾,盾牌,武器,治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45682,45682.jpg
L024,B04,普通,堕落力量胸铠,板甲胸,护甲,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45676,45676.jpg
L025,B04,普通,构造体的臂甲,板甲腕,护甲,坦克,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45680,45680.jpg
L026,B04,困难,奥杜尔的徽记,戒指,首饰,全职业,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45871,45871.jpg
L027,B04,困难,熔化能量线圈,皮甲腕,护甲,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45869,45869.jpg
L028,B04,困难,塑石者的胸铠,锁甲胸,护甲,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45867,45867.jpg
L029,B04,困难,磁化弹药发射器,枪,武器,猎人,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45870,45870.jpg
L030,B04,困难,艾塞尔之刃,双手剑,武器,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45868,45868.jpg
L031,B05,普通,警觉命运之眼,项链,首饰,治疗|法系DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45447,45447.jpg
L032,B05,普通,风暴之刺,匕首,武器,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45332,45332.jpg
L033,B05,普通,符文蚀刻夜刃,单手剑,武器,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45331,45331.jpg
L034,B05,普通,钢铁议会披风,披风,护甲,全职业,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45322,45322.jpg
L035,B05,普通,钢铁热情胫甲,板甲脚,护甲,坦克,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45330,45330.jpg
L036,B05,困难,敏捷之环,戒指,首饰,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45456,45456.jpg
L037,B05,困难,碾嗜者,拳套,武器,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45449,45449.jpg
L038,B05,困难,危险之噬,匕首,武器,盗贼|物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45448,45448.jpg
L039,B06,普通,不屈印记,项链,首饰,坦克,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45696,45696.jpg
L040,B06,普通,炫目坠饰,项链,首饰,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45699,45699.jpg
L041,B06,普通,岩石禁卫,单手剑,武器,坦克,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45700,45700.jpg
L042,B06,普通,希望的火花,饰品,饰品,治疗,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45703,45703.jpg
L043,B06,普通,凋零梦境之塔,法杖,武器,法系DPS|治疗,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45695,45695.jpg
L044,B06,普通,翡翠徽记之戒,戒指,首饰,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45702,45702.jpg
L045,B07,普通,堕落者的外衣,布甲胸,护甲,法系DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45865,45865.jpg
L046,B07,普通,守护者的罩帽,皮甲头,护甲,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45864,45864.jpg
L047,B07,普通,破坏者的墙盾,盾牌,武器,坦克,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45707,45707.jpg
L048,B07,普通,培育之触,魔杖,武器,治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45713,45713.jpg
L049,B07,普通,元素聚焦之石,饰品,饰品,法系DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45866,45866.jpg
L050,B07,普通,泰坦愤怒胸甲,板甲胸,护甲,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45712,45712.jpg
L051,B08,普通,寒冬之拥,披风,护甲,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45873,45873.jpg
L052,B08,普通,寒冬徽记,戒指,首饰,全职业,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45874,45874.jpg
L053,B08,普通,雪崩,弓,武器,猎人,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45872,45872.jpg
L054,B08,普通,固执征服者的护腿,套装腿,套装,圣骑士|牧师|术士,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45650,45650.jpg
L055,B08,普通,雷暴,双手斧,武器,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45458,45458.jpg
L056,B08,困难,覆冰屏障,盾牌,武器,治疗,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45887,45887.jpg
L057,B08,困难,北风卫士,盾牌,武器,坦克,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45877,45877.jpg
L058,B08,困难,战栗,单手锤,武器,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45876,45876.jpg
L059,B08,困难,严寒臂甲,板甲腕,护甲,坦克|物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45888,45888.jpg
L060,B08,困难,冰核法杖,法杖,武器,法系DPS|治疗,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45886,45886.jpg
L061,B09,普通,共鸣裹手,布甲手,护甲,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45927,45927.jpg
L062,B09,普通,雷霆的传承,单手锤,武器,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45892,45892.jpg
L063,B09,普通,固执征服者的护肩,套装肩,套装,圣骑士|牧师|术士,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45659,45659.jpg
L064,B09,普通,固执保卫者的护肩,套装肩,套装,战士|猎人|萨满,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45660,45660.jpg
L065,B09,普通,固执胜利者的护肩,套装肩,套装,盗贼|死亡骑士|法师|德鲁伊,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45661,45661.jpg
L066,B09,困难,浅墓坠饰,项链,首饰,坦克|物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45933,45933.jpg
L067,B09,困难,格斗者的靴中剑,匕首,武器,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45930,45930.jpg
L068,B09,困难,雷神护手,板甲手,护甲,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45928,45928.jpg
L069,B09,困难,雷神符石,饰品,饰品,物理DPS,S+,10000,32000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45931,45931.jpg
L070,B09,困难,西芙的记忆,饰品,饰品,法系DPS|治疗,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45929,45929.jpg
L071,B10,普通,轻灵猎手外套,皮甲胸,护甲,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45940,45940.jpg
L072,B10,普通,钢铁树皮面甲,板甲头,护甲,坦克,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45935,45935.jpg
L073,B10,普通,固执征服者的手套,套装手,套装,圣骑士|牧师|术士,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45644,45644.jpg
L074,B10,普通,固执保卫者的手套,套装手,套装,战士|猎人|萨满,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45645,45645.jpg
L075,B10,普通,固执胜利者的手套,套装手,套装,盗贼|死亡骑士|法师|德鲁伊,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45646,45646.jpg
L076,B10,困难,杀戮之种,项链,首饰,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45945,45945.jpg
L077,B10,困难,火兰花徽记,戒指,首饰,法系DPS|治疗,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45946,45946.jpg
L078,B10,困难,低语轻风手套,锁甲手,护甲,治疗|法系DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45943,45943.jpg
L079,B10,困难,瑟利拉斯，因瓦尔·独臂的血刃,单手剑,武器,物理DPS,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45947,45947.jpg
L080,B11,普通,时髦的能量斗篷,披风,护甲,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45973,45973.jpg
L081,B11,普通,脉冲权杖,单手锤,武器,治疗|法系DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45972,45972.jpg
L082,B11,普通,固执征服者的头盔,套装头,套装,圣骑士|牧师|术士,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45647,45647.jpg
L083,B11,普通,固执保卫者的头盔,套装头,套装,战士|猎人|萨满,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45648,45648.jpg
L084,B11,普通,固执胜利者的头盔,套装头,套装,盗贼|死亡骑士|法师|德鲁伊,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45649,45649.jpg
L085,B11,困难,米米尔隆的飞行眼镜,皮甲头,护甲,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45993,45993.jpg
L086,B11,困难,淬炼水银胫甲,锁甲脚,护甲,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45989,45989.jpg
L087,B11,困难,熔合之剑,主手剑,武器,法系DPS|治疗,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45990,45990.jpg
L088,B11,困难,钢铁军队胫甲,板甲脚,护甲,坦克,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45988,45988.jpg
L089,B11,困难,合金腿铠,板甲腿,护甲,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45982,45982.jpg
L090,B12,普通,萨隆邪铁畸体披风,披风,护甲,坦克,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46014,46014.jpg
L091,B12,普通,地狱项圈,项链,首饰,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46008,46008.jpg
L092,B12,普通,无尽绝望坠饰,项链,首饰,法系DPS|治疗,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46015,46015.jpg
L093,B12,普通,暗石之戒,戒指,首饰,全职业,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46010,46010.jpg
L094,B12,普通,深渊束腕,皮甲腕,护甲,物理DPS,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46009,46009.jpg
L095,B12,困难,无面者将军斗篷,披风,护甲,全职业,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46032,46032.jpg
L096,B12,困难,深邃黑暗护腿,布甲腿,护甲,法系DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46034,46034.jpg
L097,B12,困难,埃尔苏加，热情勇士之手,主手锤,武器,治疗|法系DPS,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46035,46035.jpg
L098,B12,困难,虚空弯刀,单手剑,武器,物理DPS,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46036,46036.jpg
L099,B12,困难,苦痛之地,法杖,武器,法系DPS|治疗,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46033,46033.jpg
L100,B13,普通,千喉坠饰,项链,首饰,全职业,B,1000,4000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46022,46022.jpg
L101,B13,普通,弑君,匕首,武器,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46024,46024.jpg
L102,B13,普通,固执征服者的护胸,套装胸,套装,圣骑士|牧师|术士,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45635,45635.jpg
L103,B13,普通,固执保卫者的护胸,套装胸,套装,战士|猎人|萨满,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45636,45636.jpg
L104,B13,普通,固执胜利者的护胸,套装胸,套装,盗贼|死亡骑士|法师|德鲁伊,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,45637,45637.jpg
L105,B13,普通,莱恩国王的皇家徽记,饰品,饰品,坦克,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46021,46021.jpg
L106,B13,困难,悲歌徽记,戒指,首饰,法系DPS|治疗,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46096,46096.jpg
L107,B13,困难,非凡恐怖肩饰,布甲肩,护甲,法系DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46068,46068.jpg
L108,B13,困难,噬灵束带,皮甲腰,护甲,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46095,46095.jpg
L109,B13,困难,疯狂之吻,单手锤,武器,治疗|法系DPS,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46097,46097.jpg
L110,B13,困难,毁灭低语之锤,双手锤,武器,物理DPS,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46067,46067.jpg
L111,B14,专属,信使斗篷,披风,护甲,全职业,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46042,46042.jpg
L112,B14,专属,天堂之力,项链,首饰,物理DPS,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46040,46040.jpg
L113,B14,专属,星云指环,戒指,首饰,法系DPS|治疗,S,6000,18000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46046,46046.jpg
L114,B14,专属,星光之靴,布甲脚,护甲,法系DPS|治疗,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46050,46050.jpg
L115,B14,专属,永恒胸铠,板甲胸,护甲,坦克,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46039,46039.jpg
L116,B14,专属,观星肩铠,板甲肩,护甲,物理DPS,A,3000,9000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46037,46037.jpg
L117,B14,专属,黑暗物质,饰品,饰品,物理DPS,S+,10000,32000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46038,46038.jpg
L118,B14,专属,陨星水晶,饰品,饰品,治疗,S+,10000,32000,1,https://www.wowhead.com/wotlk/cn/guide/raids/ulduar/loot,MVP精选池，非完整掉落数据库,46051,46051.jpg
