player_id,combat_tier,main_skill,mechanics,awareness,stability,teamwork,learning,mentality,pressure_resistance,social_primary,social_secondary,base_leave_pct,economy_type,wallet_gold,spend_willingness,bid_aggression,bargain_factor,purchase_preference,claim_honesty,source_type,personality_type,strength_tags,weakness_tags,special_rule,leave_policy,description
P038,优秀,83,75,89,65,63,88,90,85,稳定型,老黄牛,0,实力消费,41000,69,41,0.62,饰品|武器|套装,63,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P039,中上,84,70,85,87,96,69,48,57,老黄牛,无,5.9,武器饰品党,74000,53,51,0.76,武器|饰品,94,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P040,普通,71,76,82,69,98,85,73,65,老黄牛,无,0,大老板,109000,88,82,0.8,全部,40,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P041,优秀,84,75,72,95,81,63,94,93,压力怪,无,0,小老板,34000,67,44,0.86,主专精|饰品|武器,68,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P042,偏弱,61,56,62,54,66,78,91,98,沉默型,无,3,实力消费,30000,77,43,0.67,饰品|武器|套装,41,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P043,优秀,84,74,95,82,75,88,86,77,调解者,无,0,小老板,43000,47,60,0.82,主专精|饰品|武器,59,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P044,优秀,89,82,75,88,71,80,55,50,数据执着,无,6.1,排骨党,5000,18,7,0.18,几乎不买,96,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P045,普通,77,58,85,60,58,59,66,75,数据执着,无,2.1,实力消费,26000,67,45,0.69,饰品|武器|套装,57,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P046,中上,79,70,89,89,85,76,92,98,沉默型,嘴硬型,3,小老板,30000,77,42,0.63,主专精|饰品|武器,61,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P047,普通,66,67,77,52,63,69,89,67,气氛组,无,0,毕业装党,22000,57,60,0.9,S|S+,73,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P048,普通,65,59,62,67,80,70,60,56,情绪跟随,无,4.3,排骨党,7000,4,16,0.22,几乎不买,92,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P049,偏弱,52,45,64,48,65,52,92,92,稳定型,无,0,大老板,156000,86,77,0.82,全部,43,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P050,普通,66,53,67,60,66,55,98,80,气氛组,压力怪,0,捡漏型,25000,31,18,0.54,低价,86,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P051,中上,80,65,83,70,77,46,71,70,自信型,无,1.1,大老板,115000,78,81,0.93,全部,89,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P052,偏弱,57,45,67,61,39,56,56,55,情绪跟随,无,4.8,捡漏型,16000,57,39,0.52,低价,47,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P053,优秀,89,98,96,72,78,81,68,71,一把哥,无,18,毕业装党,54000,46,60,1.02,S|S+,88,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P054,普通,76,81,78,78,71,83,47,40,团长型,稳定型,11.1,小老板,73000,62,50,0.72,主专精|饰品|武器,96,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P055,中上,76,64,82,59,71,78,89,98,一把哥,无,18,小老板,49000,67,40,0.79,主专精|饰品|武器,56,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P056,中上,76,66,75,80,82,67,84,77,拱火者,无,0,排骨党,3000,26,5,0.1,几乎不买,64,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P057,普通,64,53,69,68,67,82,64,59,拱火者,压力怪,2,口嗨消费,20000,15,28,0.3,随机,75,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P058,顶级,90,90,90,94,74,68,59,85,玻璃心,无,5.3,毕业装党,70000,63,61,0.94,S|S+,82,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P059,普通,74,65,68,74,64,55,80,90,嘴硬型,责任型,0,毕业装党,91000,54,52,0.83,S|S+,76,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P060,偏弱,63,54,63,57,77,62,62,53,沉默型,无,6.5,毕业装党,97000,51,56,0.88,S|S+,67,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P061,中上,75,63,75,80,65,71,50,74,玻璃心,无,6.9,实力消费,39000,58,59,0.68,饰品|武器|套装,40,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P062,优秀,84,87,97,96,98,53,60,48,老黄牛,无,0,武器饰品党,20000,70,65,0.75,武器|饰品,63,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P063,中上,78,76,83,69,71,69,79,76,责任型,无,0,排骨党,1000,14,5,0.26,几乎不买,54,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P064,中上,75,67,82,64,78,59,66,60,压力怪,无,2.1,排骨党,2000,13,5,0.21,几乎不买,84,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P065,中上,77,66,79,68,67,88,67,79,拱火者,无,0,捡漏型,11000,60,32,0.55,低价,76,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P066,中上,81,86,93,85,71,74,59,57,摆烂型,无,5.8,小老板,29000,55,58,0.86,主专精|饰品|武器,71,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P067,中上,81,88,76,80,93,87,67,71,拱火者,无,1,小老板,47000,72,62,0.79,主专精|饰品|武器,97,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P068,普通,69,60,76,78,56,94,63,68,责任型,无,1.2,口嗨消费,21000,33,21,0.43,随机,74,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P069,优秀,84,94,79,79,68,79,63,69,稳定型,嘴硬型,1.5,排骨党,4000,18,7,0.22,几乎不买,68,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P070,普通,75,81,72,68,78,90,98,83,气氛组,无,0,排骨党,0,8,13,0.25,几乎不买,44,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P071,顶级,92,86,91,78,82,69,69,70,调解者,无,0,毕业装党,79000,50,75,0.89,S|S+,40,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P072,优秀,87,89,92,89,68,71,72,86,压力怪,无,0,实力消费,16000,79,40,0.75,饰品|武器|套装,48,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P073,中上,77,71,80,60,86,90,93,77,气氛组,情绪跟随,0,毕业装党,88000,58,72,0.8,S|S+,79,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P074,偏弱,53,48,61,46,42,51,66,71,嘴硬型,无,0.3,捡漏型,14000,41,16,0.51,低价,72,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P075,普通,76,82,71,73,56,83,53,62,沉默型,无,9.8,实力消费,31000,53,48,0.73,饰品|武器|套装,40,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P076,优秀,86,96,85,71,72,58,61,68,嘴硬型,调解者,5.2,大老板,172000,77,76,0.87,全部,51,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P077,顶级,90,79,79,98,98,85,94,82,责任型,无,0,大老板,163000,70,68,0.85,全部,65,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P078,顶级,97,97,88,98,98,54,63,58,稳定型,数据执着,0,毕业装党,44000,39,60,0.95,S|S+,83,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P079,中上,75,67,61,65,55,82,75,79,调解者,无,0,口嗨消费,13000,17,31,0.24,随机,96,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P080,偏弱,67,73,58,71,55,50,53,65,团长型,压力怪,6,捡漏型,28000,32,19,0.36,低价,96,随机生成,随机组合型,由战斗数值与性格共同决定,由低项数值与负面性格自然触发,,按基础退队率与团队状态计算,随机生成角色；战斗、社交和消费互相独立，公开密语不代表隐藏真相。
P081,顶级,96,96,98,96,94,98,60,50,厌蠢症,压力怪,4,实力消费,55000,72,45,0.72,饰品|武器|S|S+,92,玩家自建,厌蠢症 / 压力怪,顶级机制、元素与奶萨双修,厌蠢，低质量连续灭团后容易爆炸,高水平团队稳定加成,条件退队,任何机制处理能力极强；团队越靠谱发挥越稳，重复低级错误会快速消耗耐心。
P082,顶级,94,98,98,95,90,95,68,65,团长型,钻空子,3,毕业装党,105000,82,68,0.88,S|S+|治疗极品,88,玩家自建,团长型 / 钻空子,顶级治疗、指挥与规则理解,喜欢研究规则漏洞,极低概率违规封号,条件退队,全Boss熟练并能指挥，兼具治疗强度与组织能力。
P083,中上,75,70,72,72,82,76,95,90,自信型,宏依赖,0,大老板,125000,96,92,0.95,S|S+|板甲|坦克装备,48,玩家自建,自信型 / 宏依赖,装备优秀、基础坦克职责稳定、队友容易救场,复杂机制和临场应变偏弱,失误更常转化为可补救险情，熟悉后明显稳定,永不主动退队,装备很好但机制经验不足，需要明确口令；偶尔犯错，但多数时候队友还有机会救回来。
P084,优秀,90,94,93,95,99,88,95,95,老黄牛,不开麦,0,实力消费,45000,56,42,0.68,合理提升|武器|饰品,96,玩家自建,老黄牛 / 不开麦,机制、生存、团队执行,不开麦导致主动报点不足,报点事件小幅减益,永不主动退队,任劳任怨的团队型输出，执行力强但不主动开麦。
P085,普通,70,86,80,90,85,80,95,90,调解者,责任型,0,实力消费,38000,48,38,0.65,合理提升,86,玩家自建,调解者 / 责任型,机制稳定、团队润滑、救场,输出上限偏低,灭团矛盾与士气损失降低,永不主动退队,认真专注且擅长调解，数据不抢眼但团队价值很高。
P086,中上,80,70,68,65,87,75,80,80,拱火者,嘴硬型,0,捡漏型,18000,38,28,0.5,低价,90,玩家自建,拱火者 / 戏精型,气氛活跃、偶有亮眼操作,偶尔忘箭、拿错武器或误开怪,低概率神级操作或低级失误,永不主动退队,戏精型猎人，能活跃气氛，也可能突然大脑短路。
P087,普通,67,55,60,75,60,70,95,95,老司机,嘴硬型,0,小老板,65000,82,75,0.9,全部,75,玩家自建,自信型 / 嘴硬型,点子多、学习速度快,机制陌生且容易自以为是,失败后学习收益较高；低概率网吧到点离队,条件退队,小白型玩家，吹牛和新点子很多，需要清晰指导。
P088,普通,62,75,75,85,70,75,95,95,调解者,气氛组,0,毕业装党,70000,78,70,0.9,S|S+,90,玩家自建,调解者 / 团队执行,鼓舞士气、团队性强,输出上限一般,击杀与灭团后提供气氛加成,永不主动退队,尽力不犯错的团队型术士，个人数据一般但能稳住队伍。
P089,普通,67,55,75,75,55,70,65,55,老司机,躺平型,1,捡漏型,6500,25,20,0.35,低价,80,玩家自建,甩锅型 / 躺平型,游戏资历久、熟悉常规套路,困难局容易躺平,低士气时投入下降,正常,老玩家但水平普通，喜欢吹资历，困难时容易摆烂。
P090,中上,78,60,78,80,90,90,85,85,调解者,团队执行,0,捡漏型,5000,30,25,0.4,低价,92,玩家自建,调解者 / 团队执行,经验足、救急能力强、学习快,部分奥杜尔机制不熟,第二次尝试额外熟悉加成,永不主动退队,团队型奶骑，第一次可能陌生，熟悉后发挥明显改善。
P091,中上,73,67,65,60,60,60,95,95,甩锅型,宏依赖,0,大老板,120000,92,88,1.1,全部,85,玩家自建,稳定型 / 宏依赖,木桩输出高,移动和复杂机制明显拉跨,宏依赖：低移动加成、高移动惩罚,永不主动退队,一键宏DK，木桩很猛，需要临场处理时容易掉链子。
