player_id,name,class,signup_spec,signup_role,source_type,combat_tier,join_runs,initial_joins,replacement_joins,team_full_clear_runs,team_full_clear_pct,personal_full_clear_runs,personal_full_clear_pct,algalon_reach_runs,algalon_reach_pct,fights,avg_dps_all_fights,avg_hps_all_fights,dps_role_fights,avg_dps_as_dps,healer_fights,avg_hps_as_healer,tank_fights,avg_dps_as_tank,best_dps,best_hps,deaths,death_pct_per_fight,battle_reses,responsible_count,responsible_pct_per_fight,leave_count,leave_pct_per_join,collapse_leave_count,base_leave_pct,leave_policy,leave_types,leave_bosses
P011,长川,萨满,增强,近战DPS,随机生成,普通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,按基础退队率与团队状态计算,,
P012,七七,萨满,奶萨,治疗,随机生成,顶级,73,73,0,10,13.7,9,12.33,19,26.03,1055,281.7,7375.7,0,0,1055,7375.7,0,0,313,9929,7,0.66,7,14,1.33,26,35.62,0,13.3,按基础退队率与团队状态计算,战术下线:10|借故离开:8|直接退团:8,B05:5|B11:4|B12:4|B10:3|B02:3|B03:2|B08:2|B13:2|B14:1
P013,南乔,德鲁伊,鸟德,远程DPS,随机生成,优秀,61,61,0,3,4.92,3,4.92,10,16.39,928,8766.9,0,928,8766.9,0,0,0,0,10527,0,4,0.43,3,13,1.4,7,11.48,0,0,按基础退队率与团队状态计算,直接退团:3|借故离开:3|战术下线:1,B08:3|B02:1|B11:1|B05:1|B09:1
P014,木槿,德鲁伊,熊德,坦克,随机生成,中上,67,67,0,1,1.49,1,1.49,7,10.45,949,2879.3,0,0,0,0,0,949,2879.3,3229,0,18,1.9,0,36,3.79,31,46.27,0,9.6,按基础退队率与团队状态计算,直接退团:13|战术下线:11|借故离开:7,B10:11|B05:8|B12:4|B13:3|B03:1|B11:1|B08:1|B09:1|B04:1
P015,归尘,圣骑士,奶骑,治疗,随机生成,普通,11,11,0,0,0,0,0,0,0,123,221.9,5265.4,0,0,123,5265.4,0,0,245,6394,1,0.81,1,5,4.07,8,72.73,0,26.1,按基础退队率与团队状态计算,直接退团:3|借故离开:3|战术下线:2,B04:1|B11:1|B10:1|B05:1|B03:1|B12:1|B02:1|B08:1
P016,星河,术士,痛苦术,远程DPS,随机生成,中上,34,34,0,2,5.88,2,5.88,5,14.71,527,7751.3,0,527,7751.3,0,0,0,0,9572,0,12,2.28,10,17,3.23,9,26.47,0,2.5,按基础退队率与团队状态计算,直接退团:4|借故离开:3|战术下线:2,B11:5|B08:1|B05:1|B10:1|B12:1
P017,余温,术士,恶魔术,远程DPS,随机生成,中上,53,53,0,2,3.77,1,1.89,6,11.32,715,7729.8,0,715,7729.8,0,0,0,0,9607,0,5,0.7,4,13,1.82,18,33.96,0,0,按基础退队率与团队状态计算,借故离开:9|直接退团:6|战术下线:3,B05:7|B03:3|B12:2|B04:2|B11:2|B09:1|B08:1
P018,听雪,牧师,戒律牧,治疗,随机生成,优秀,39,39,0,2,5.13,1,2.56,4,10.26,531,267.7,6592.7,0,0,531,6592.7,0,0,295,8703,6,1.13,5,8,1.51,16,41.03,0,3.4,按基础退队率与团队状态计算,直接退团:8|战术下线:5|借故离开:3,B12:3|B10:3|B05:2|B03:2|B02:2|B08:2|B11:1|B09:1
P019,谷雨,死亡骑士,冰DK,近战DPS,随机生成,中上,9,9,0,0,0,0,0,0,0,125,6973.2,0,125,6973.2,0,0,0,0,8549,0,3,2.4,3,1,0.8,1,11.11,0,2.7,按基础退队率与团队状态计算,战术下线:1,B05:1
P020,墨白,死亡骑士,邪DK,近战DPS,随机生成,中上,55,55,0,4,7.27,4,7.27,9,16.36,847,7187,0,847,7187,0,0,0,0,9295,0,13,1.53,11,16,1.89,22,40,0,5.4,按基础退队率与团队状态计算,战术下线:9|直接退团:7|借故离开:6,B04:4|B12:4|B05:4|B11:3|B09:3|B08:2|B10:2
P021,玄青,德鲁伊,熊德,坦克,随机生成,偏弱,72,72,0,1,1.39,1,1.39,5,6.94,940,2177.9,0,0,0,0,0,940,2177.9,2645,0,14,1.49,0,77,8.19,18,25,0,0,按基础退队率与团队状态计算,借故离开:8|直接退团:6|战术下线:4,B05:8|B08:3|B04:2|B11:2|B10:1|B14:1|B12:1
P022,旧梦,死亡骑士,血DK,坦克,随机生成,顶级,111,111,0,7,6.31,7,6.31,25,22.52,1831,2965.8,0,0,0,0,0,1831,2965.8,3365,0,16,0.87,0,43,2.35,25,22.52,0,1.8,按基础退队率与团队状态计算,直接退团:12|借故离开:7|战术下线:6,B10:7|B12:5|B11:4|B08:3|B05:2|B13:2|B04:2
P023,夏末,法师,奥法,远程DPS,随机生成,中上,90,90,0,9,10,9,10,17,18.89,1314,7952.2,0,1314,7952.2,0,0,0,0,9851,0,15,1.14,14,24,1.83,29,32.22,0,7.4,按基础退队率与团队状态计算,借故离开:10|直接退团:10|战术下线:9,B05:7|B11:5|B10:5|B02:3|B12:3|B13:2|B08:2|B03:1|B09:1
P024,微光,死亡骑士,邪DK,近战DPS,随机生成,普通,10,10,0,0,0,0,0,0,0,175,6153.5,0,175,6153.5,0,0,0,0,8125,0,2,1.14,2,15,8.57,2,20,0,0.5,按基础退队率与团队状态计算,借故离开:1|战术下线:1,B08:1|B13:1
P025,半夏,圣骑士,奶骑,治疗,随机生成,偏弱,6,6,0,0,0,0,0,0,0,79,209.6,4584.1,0,0,79,4584.1,0,0,233,5903,5,6.33,4,3,3.8,3,50,0,0.5,按基础退队率与团队状态计算,直接退团:3,B05:2|B04:1
P026,山岚,死亡骑士,血DK,坦克,随机生成,偏弱,56,56,0,0,0,0,0,4,7.14,834,2184,0,0,0,0,0,834,2184,2577,0,26,3.12,0,97,11.63,18,32.14,0,0.1,按基础退队率与团队状态计算,直接退团:9|战术下线:6|借故离开:3,B05:8|B11:3|B08:2|B12:2|B10:1|B03:1|B07:1
P027,鸣沙,战士,狂暴战,近战DPS,随机生成,优秀,36,36,0,1,2.78,1,2.78,5,13.89,502,7669.4,0,502,7669.4,0,0,0,0,9840,0,2,0.4,1,7,1.39,9,25,0,0.3,按基础退队率与团队状态计算,直接退团:5|战术下线:3|借故离开:1,B02:3|B11:1|B04:1|B10:1|B08:1|B03:1|B05:1
P028,云雀,牧师,神牧,治疗,随机生成,顶级,40,40,0,2,5,1,2.5,8,20,706,270.9,6779.8,0,0,706,6779.8,0,0,296,9310,7,0.99,7,13,1.84,17,42.5,0,6.1,按基础退队率与团队状态计算,直接退团:8|战术下线:5|借故离开:4,B05:4|B10:3|B11:3|B12:3|B03:2|B02:1|B13:1
P029,寒舟,德鲁伊,奶德,治疗,随机生成,普通,26,26,0,0,0,0,0,0,0,363,239.8,5451,0,0,363,5451,0,0,265,6956,5,1.38,4,14,3.86,8,30.77,0,0,按基础退队率与团队状态计算,开喷退团:5|直接退团:3,B05:2|B02:1|B12:1|B11:1|B08:1|B03:1|B04:1
P030,朝夕,猎人,生存猎,远程DPS,随机生成,优秀,64,64,0,3,4.69,1,1.56,6,9.38,841,7666.7,0,841,7666.7,0,0,0,0,9271,0,7,0.83,7,8,0.95,18,28.13,0,4.3,按基础退队率与团队状态计算,借故离开:7|直接退团:6|战术下线:5,B05:4|B02:3|B04:3|B12:2|B13:2|B11:2|B08:1|B10:1
P031,夜阑,法师,火法,远程DPS,随机生成,普通,1,1,0,0,0,0,0,0,0,17,6821,0,17,6821,0,0,0,0,7840,0,0,0,0,1,5.88,0,0,0,9.2,按基础退队率与团队状态计算,,
P032,鹿鸣,圣骑士,奶骑,治疗,随机生成,中上,52,52,0,0,0,0,0,1,1.92,661,246.2,5995.8,0,0,661,5995.8,0,0,271,7515,12,1.82,10,19,2.87,21,40.38,0,0,按基础退队率与团队状态计算,开喷退团:14|直接退团:7,B05:5|B11:4|B10:4|B03:3|B02:3|B12:1|B13:1
P033,沉舟,术士,恶魔术,远程DPS,随机生成,中上,1,1,0,0,0,0,0,0,0,4,7087.5,0,4,7087.5,0,0,0,0,7673,0,0,0,0,0,0,0,0,0,13.7,按基础退队率与团队状态计算,,
P034,白夜,战士,防战,坦克,随机生成,优秀,41,41,0,0,0,0,0,1,2.44,591,2737.2,0,0,0,0,0,591,2737.2,3062,0,9,1.52,0,18,3.05,11,26.83,0,0.2,按基础退队率与团队状态计算,开喷退团:9|直接退团:2,B04:3|B05:3|B11:2|B12:1|B13:1|B02:1
P035,无咎,战士,武器战,近战DPS,随机生成,普通,7,7,0,0,0,0,0,0,0,91,6278.2,0,91,6278.2,0,0,0,0,8014,0,0,0,0,9,9.89,3,42.86,0,4.1,按基础退队率与团队状态计算,开喷退团:2|直接退团:1,B04:1|B08:1|B05:1
P036,洛川,萨满,元素,远程DPS,随机生成,优秀,1,1,0,0,0,0,0,0,0,23,7397.1,0,23,7397.1,0,0,0,0,8147,0,0,0,0,2,8.7,0,0,0,8.9,按基础退队率与团队状态计算,,
P037,流火,圣骑士,惩戒,近战DPS,随机生成,优秀,6,6,0,0,0,0,0,0,0,76,6620.7,0,76,6620.7,0,0,0,0,8182,0,0,0,0,0,0,3,50,0,1.6,按基础退队率与团队状态计算,借故离开:2|战术下线:1,B02:1|B12:1|B05:1
P038,东篱,死亡骑士,邪DK,近战DPS,随机生成,优秀,27,27,0,1,3.7,0,0,3,11.11,340,7008.5,0,340,7008.5,0,0,0,0,9039,0,5,1.47,5,13,3.82,7,25.93,0,0,按基础退队率与团队状态计算,战术下线:4|借故离开:2|直接退团:1,B08:3|B05:2|B10:1|B11:1
P039,清昼,德鲁伊,猫德,近战DPS,随机生成,中上,101,101,0,3,2.97,3,2.97,14,13.86,1411,7293.5,0,1411,7293.5,0,0,0,0,9398,0,19,1.35,17,20,1.42,25,24.75,0,5.9,按基础退队率与团队状态计算,直接退团:12|战术下线:7|借故离开:6,B08:5|B12:5|B05:4|B02:2|B04:2|B10:2|B07:1|B11:1|B09:1|B03:1|B13:1
P040,暮云,死亡骑士,冰DK,近战DPS,随机生成,普通,2,2,0,0,0,0,0,0,0,38,6412.3,0,38,6412.3,0,0,0,0,7731,0,0,0,0,0,0,0,0,0,0,按基础退队率与团队状态计算,,
P041,霜序,德鲁伊,熊德,坦克,随机生成,优秀,82,82,0,1,1.22,1,1.22,11,13.41,1240,2773.3,0,0,0,0,0,1240,2773.3,3112,0,17,1.37,0,40,3.23,30,36.59,0,0,按基础退队率与团队状态计算,开喷退团:26|直接退团:4,B05:11|B12:5|B04:4|B10:3|B11:3|B09:1|B13:1|B02:1|B08:1
P042,千帆,萨满,元素,远程DPS,随机生成,偏弱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,按基础退队率与团队状态计算,,
P043,飞白,萨满,增强,近战DPS,随机生成,优秀,8,8,0,0,0,0,0,0,0,109,7110.7,0,109,7110.7,0,0,0,0,8401,0,0,0,0,0,0,3,37.5,0,0,按基础退队率与团队状态计算,直接退团:2|借故离开:1,B09:2|B05:1
P044,渡鸦,牧师,暗牧,远程DPS,随机生成,优秀,1,1,0,1,100,1,100,1,100,22,7517.3,0,22,7517.3,0,0,0,0,8656,0,1,4.55,1,2,9.09,0,0,0,6.1,按基础退队率与团队状态计算,,
P045,远山,战士,武器战,近战DPS,随机生成,普通,1,1,0,0,0,0,0,0,0,7,6123.7,0,7,6123.7,0,0,0,0,6791,0,0,0,0,2,28.57,1,100,0,2.1,按基础退队率与团队状态计算,战术下线:1,B05:1
P046,风眠,牧师,戒律牧,治疗,随机生成,中上,30,30,0,1,3.33,1,3.33,4,13.33,390,254.6,6504.6,0,0,390,6504.6,0,0,283,8261,6,1.54,5,5,1.28,13,43.33,0,3,按基础退队率与团队状态计算,战术下线:10|直接退团:3,B02:4|B10:4|B05:3|B04:1|B12:1
P047,暮色,德鲁伊,鸟德,远程DPS,随机生成,普通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,按基础退队率与团队状态计算,,
P048,朔风,圣骑士,防骑,坦克,随机生成,普通,80,80,0,0,0,0,0,5,6.25,1198,2380.5,0,0,0,0,0,1198,2380.5,2764,0,22,1.84,0,74,6.18,25,31.25,0,4.3,按基础退队率与团队状态计算,直接退团:14|借故离开:6|战术下线:5,B05:9|B10:5|B12:3|B11:3|B04:2|B02:1|B03:1|B08:1
P049,木鱼,术士,恶魔术,远程DPS,随机生成,偏弱,1,1,0,0,0,0,0,1,100,25,5870.2,0,25,5870.2,0,0,0,0,6960,0,1,4,0,3,12,0,0,0,0,按基础退队率与团队状态计算,,
P050,初七,萨满,奶萨,治疗,随机生成,普通,37,37,0,1,2.7,1,2.7,4,10.81,512,218.9,5581.2,0,0,512,5581.2,0,0,241,7889,23,4.49,23,18,3.52,15,40.54,0,0,按基础退队率与团队状态计算,开喷退团:11|直接退团:4,B05:6|B10:4|B11:3|B04:1|B12:1
P051,既白,盗贼,战斗贼,近战DPS,随机生成,中上,58,58,0,4,6.9,4,6.9,4,6.9,751,7039.7,0,751,7039.7,0,0,0,0,9345,0,17,2.26,16,26,3.46,19,32.76,0,1.1,按基础退队率与团队状态计算,开喷退团:16|直接退团:3,B05:5|B10:4|B04:3|B12:3|B08:2|B06:1|B02:1
P052,见山,圣骑士,防骑,坦克,随机生成,偏弱,77,77,0,0,0,0,0,0,0,952,1993.8,0,0,0,0,0,952,1993.8,2351,0,21,2.21,0,73,7.67,28,36.36,0,4.8,按基础退队率与团队状态计算,借故离开:16|直接退团:8|战术下线:4,B05:9|B08:6|B12:4|B10:3|B04:3|B09:1|B13:1|B07:1
P053,西洲,战士,防战,坦克,随机生成,优秀,110,110,0,7,6.36,7,6.36,17,15.45,1544,3089.1,0,0,0,0,0,1544,3089.1,3545,0,12,0.78,0,33,2.14,48,43.64,0,18,按基础退队率与团队状态计算,借故离开:21|直接退团:17|战术下线:10,B05:17|B08:8|B10:7|B11:4|B13:3|B12:3|B04:3|B02:1|B01:1|B09:1
P054,停云,德鲁伊,鸟德,远程DPS,随机生成,普通,45,45,0,2,4.44,2,4.44,6,13.33,585,7749.5,0,585,7749.5,0,0,0,0,9493,0,7,1.2,5,14,2.39,14,31.11,0,11.1,按基础退队率与团队状态计算,直接退团:7|借故离开:4|战术下线:3,B05:4|B12:2|B08:2|B11:2|B10:1|B09:1|B06:1|B04:1
P055,雾隐,德鲁伊,奶德,治疗,随机生成,中上,15,15,0,0,0,0,0,2,13.33,195,239.4,5912.9,0,0,195,5912.9,0,0,265,7423,0,0,0,6,3.08,6,40,0,18,按基础退队率与团队状态计算,战术下线:3|直接退团:2|借故离开:1,B05:2|B10:2|B04:1|B11:1
P056,檀溪,死亡骑士,血DK,坦克,随机生成,中上,52,52,0,2,3.85,2,3.85,5,9.62,765,2673,0,0,0,0,0,765,2673,2996,0,7,0.92,0,28,3.66,8,15.38,0,0,按基础退队率与团队状态计算,开喷退团:4|直接退团:4,B05:3|B12:1|B09:1|B06:1|B04:1|B11:1
P057,微尘,圣骑士,奶骑,治疗,随机生成,普通,19,19,0,0,0,0,0,1,5.26,248,218.1,5378.5,0,0,248,5378.5,0,0,246,7234,11,4.44,6,8,3.23,7,36.84,0,2,按基础退队率与团队状态计算,开喷退团:7,B05:3|B11:2|B04:2
P058,蓝桥,战士,防战,坦克,随机生成,顶级,77,77,0,5,6.49,5,6.49,14,18.18,1205,2975.8,0,0,0,0,0,1205,2975.8,3384,0,19,1.58,0,37,3.07,24,31.17,0,5.3,按基础退队率与团队状态计算,直接退团:13|借故离开:8|战术下线:3,B10:6|B11:6|B05:5|B04:4|B12:3
P059,时雨,术士,痛苦术,远程DPS,随机生成,普通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,按基础退队率与团队状态计算,,
P060,清和,术士,痛苦术,远程DPS,随机生成,偏弱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,按基础退队率与团队状态计算,,
P061,若木,萨满,奶萨,治疗,随机生成,中上,25,25,0,2,8,1,4,3,12,322,238.4,5810.2,0,0,322,5810.2,0,0,264,7383,7,2.17,6,7,2.17,11,44,0,6.9,按基础退队率与团队状态计算,直接退团:8|借故离开:2|战术下线:1,B02:4|B08:2|B10:2|B04:1|B05:1|B11:1
P062,江离,盗贼,战斗贼,近战DPS,随机生成,优秀,3,3,0,0,0,0,0,1,33.33,53,6987.1,0,53,6987.1,0,0,0,0,8774,0,0,0,0,2,3.77,0,0,0,0,按基础退队率与团队状态计算,,
P063,枕星,法师,奥法,远程DPS,随机生成,中上,35,35,0,2,5.71,2,5.71,3,8.57,500,7463.2,0,500,7463.2,0,0,0,0,9037,0,7,1.4,7,10,2,4,11.43,0,0,按基础退队率与团队状态计算,直接退团:2|借故离开:1|战术下线:1,B02:1|B05:1|B11:1|B10:1
P064,墨池,圣骑士,惩戒,近战DPS,随机生成,中上,19,19,0,0,0,0,0,1,5.26,225,6838.6,0,225,6838.6,0,0,0,0,8690,0,6,2.67,6,6,2.67,8,42.11,0,2.1,按基础退队率与团队状态计算,开喷退团:7|直接退团:1,B05:3|B02:2|B08:1|B07:1|B04:1
P065,长安,牧师,神牧,治疗,随机生成,中上,12,12,0,1,8.33,1,8.33,1,8.33,144,240.8,5569.2,0,0,144,5569.2,0,0,264,7065,2,1.39,2,2,1.39,4,33.33,0,0,按基础退队率与团队状态计算,开喷退团:3|直接退团:1,B11:2|B05:2
P066,惊鸿,牧师,戒律牧,治疗,随机生成,中上,30,30,0,2,6.67,1,3.33,4,13.33,421,259,6336.4,0,0,421,6336.4,0,0,290,8632,9,2.14,7,4,0.95,8,26.67,0,5.8,按基础退队率与团队状态计算,借故离开:4|直接退团:3|战术下线:1,B02:3|B11:2|B05:1|B13:1|B10:1
P067,松间,战士,狂暴战,近战DPS,随机生成,中上,47,47,0,2,4.26,2,4.26,6,12.77,689,7394.3,0,689,7394.3,0,0,0,0,9751,0,11,1.6,9,18,2.61,11,23.4,0,1,按基础退队率与团队状态计算,开喷退团:6|直接退团:5,B05:4|B03:3|B11:2|B04:1|B12:1
P068,行舟,萨满,增强,近战DPS,随机生成,普通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,按基础退队率与团队状态计算,,
P069,云归,牧师,暗牧,远程DPS,随机生成,优秀,5,5,0,0,0,0,0,1,20,55,7330,0,55,7330,0,0,0,0,8853,0,0,0,0,0,0,3,60,0,1.5,按基础退队率与团队状态计算,开喷退团:3,B05:2|B10:1
P070,暗香,法师,火法,远程DPS,随机生成,普通,27,27,0,1,3.7,1,3.7,2,7.41,347,7352.9,0,347,7352.9,0,0,0,0,9168,0,3,0.86,3,15,4.32,6,22.22,0,0,按基础退队率与团队状态计算,直接退团:4|借故离开:2,B08:2|B03:1|B02:1|B05:1|B11:1
P071,望舒,战士,狂暴战,近战DPS,随机生成,顶级,84,84,0,9,10.71,9,10.71,12,14.29,1109,7674.3,0,1109,7674.3,0,0,0,0,10014,0,13,1.17,12,10,0.9,21,25,0,0,按基础退队率与团队状态计算,直接退团:9|战术下线:8|借故离开:4,B02:5|B10:4|B11:3|B05:3|B13:2|B08:1|B12:1|B03:1|B04:1
P072,清浅,猎人,生存猎,远程DPS,随机生成,优秀,123,123,0,11,8.94,10,8.13,22,17.89,1675,7873.1,0,1675,7873.1,0,0,0,0,9372,0,14,0.84,12,24,1.43,24,19.51,0,0,按基础退队率与团队状态计算,开喷退团:18|直接退团:6,B11:6|B05:6|B12:3|B02:2|B08:2|B04:2|B13:1|B10:1|B14:1
P073,楚辞,萨满,奶萨,治疗,随机生成,中上,46,46,0,5,10.87,5,10.87,7,15.22,571,244.6,6208.1,0,0,571,6208.1,0,0,269,8209,10,1.75,10,11,1.93,20,43.48,0,0,按基础退队率与团队状态计算,战术下线:9|直接退团:6|借故离开:5,B12:4|B10:4|B11:3|B02:3|B03:2|B05:2|B13:1|B04:1
P074,新月,德鲁伊,奶德,治疗,随机生成,偏弱,9,9,0,0,0,0,0,0,0,73,195.7,3930.4,0,0,73,3930.4,0,0,215,5402,6,8.22,5,8,10.96,4,44.44,0,0.3,按基础退队率与团队状态计算,直接退团:2|开喷退团:2,B04:2|B05:2
P075,归鸿,法师,奥法,远程DPS,随机生成,普通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,按基础退队率与团队状态计算,,
P076,千屿,猎人,射击猎,远程DPS,随机生成,优秀,48,48,0,1,2.08,1,2.08,8,16.67,637,7738.1,0,637,7738.1,0,0,0,0,9505,0,7,1.1,5,8,1.26,14,29.17,0,5.2,按基础退队率与团队状态计算,开喷退团:8|直接退团:6,B05:5|B02:3|B04:2|B13:2|B03:1|B11:1
P077,青禾,德鲁伊,猫德,近战DPS,随机生成,顶级,53,53,0,1,1.89,1,1.89,9,16.98,806,7522.7,0,806,7522.7,0,0,0,0,9377,0,8,0.99,8,13,1.61,14,26.42,0,0,按基础退队率与团队状态计算,直接退团:6|战术下线:6|借故离开:2,B12:3|B04:2|B13:2|B05:2|B02:2|B09:1|B06:1|B10:1
P078,临渊,萨满,元素,远程DPS,随机生成,顶级,16,16,0,3,18.75,3,18.75,6,37.5,275,8625.7,0,275,8625.7,0,0,0,0,10417,0,2,0.73,2,3,1.09,2,12.5,0,0,按基础退队率与团队状态计算,直接退团:1|借故离开:1,B05:1|B10:1
P079,余晖,盗贼,刺杀贼,近战DPS,随机生成,中上,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,按基础退队率与团队状态计算,,
P080,知秋,牧师,戒律牧,治疗,随机生成,偏弱,67,67,0,2,2.99,1,1.49,4,5.97,840,226,5767.5,0,0,840,5767.5,0,0,251,7595,22,2.62,21,26,3.1,30,44.78,0,6,按基础退队率与团队状态计算,开喷退团:19|直接退团:11,B05:10|B02:5|B10:4|B08:4|B11:3|B03:2|B09:1|B04:1
P081,多多虎,萨满,元素,远程DPS,玩家自建,顶级,253,182,71,19,7.51,17,6.72,41,16.21,2764,8859.9,0,2764,8859.9,0,0,0,0,11385,0,20,0.72,18,20,0.72,107,42.29,0,4,条件退队,开喷退团:88|直接退团:19,B10:20|B02:16|B05:15|B12:13|B11:10|B04:9|B13:8|B08:7|B03:3|B09:2|B07:1|B06:1|B01:1|B14:1
P082,动与参与商,牧师,戒律牧,治疗,玩家自建,顶级,650,594,56,59,9.08,56,8.62,167,25.69,10339,290.1,7426.9,0,0,10339,7426.9,0,0,322,10493,92,0.89,82,93,0.9,207,31.85,0,3,条件退队,直接退团:82|借故离开:69|战术下线:43|违规封号:13,B11:42|B12:30|B05:29|B02:25|B10:23|B08:19|B03:12|B13:6|B06:5|B07:4|B09:4|B04:4|B14:3|B01:1
P083,芙兰秀秀,圣骑士,防骑,坦克,玩家自建,中上,1591,1542,49,99,6.22,99,6.22,299,18.79,26392,2731,0,0,0,0,0,26392,2731,3187,0,687,2.6,0,1482,5.62,0,0,0,0,永不主动退队,,
P084,萌战,战士,狂暴战,近战DPS,玩家自建,优秀,1332,1228,104,81,6.08,81,6.08,247,18.54,19683,8047.8,0,19683,8047.8,0,0,0,0,10842,0,163,0.83,147,200,1.02,0,0,0,0,永不主动退队,,
P085,成都漫游者,盗贼,战斗贼,近战DPS,玩家自建,普通,60,34,26,1,1.67,1,1.67,3,5,691,6758.6,0,691,6758.6,0,0,0,0,8862,0,14,2.03,12,23,3.33,0,0,0,0,永不主动退队,,
P086,汉祚将尽,猎人,生存猎,远程DPS,玩家自建,中上,818,739,79,40,4.89,40,4.89,140,17.11,11982,7443.7,0,11982,7443.7,0,0,0,0,10220,0,195,1.63,176,517,4.31,0,0,0,0,永不主动退队,,
P087,愤怒月神,德鲁伊,鸟德,远程DPS,玩家自建,普通,67,35,32,3,4.48,3,4.48,8,11.94,624,6454.9,0,624,6454.9,0,0,0,0,8293,0,16,2.56,11,45,7.21,8,11.94,0,0,条件退队,开喷退团:5|直接退团:2|网吧到点:1,B08:2|B05:2|B02:1|B12:1|B07:1|B04:1
