人物ID,姓名,自建批次,职业,报名专精,报名职责,战斗档位,入组局数,初始入组局数,替补入组局数,所在团队全通次数,所在团队全通率(%),本人留队全通次数,本人留队全通率(%),到达观星者次数,到达观星者率(%),参战场次,全职责平均DPS,全职责平均HPS,DPS职责场次,DPS职责平均DPS,治疗职责场次,治疗职责平均HPS,坦克职责场次,坦克职责平均DPS,最高DPS,最高HPS,死亡次数,每场死亡率(%),被战复次数,背锅次数,每场背锅率(%),退团次数,入组后退团率(%),分崩离析退团次数,基础退团率(%),退团规则,退团类型明细,退团Boss明细
P117,蔡老板,B批,萨满,奶萨,治疗,灾难,70,0,70,0,0,0,0,0,0,143,164.3,4377.6,0,0,143,4377.6,0,0,181,5794,11,7.69,10,13,9.09,17,24.29,0,2,正常,开喷退团:11|直接退团:6,B10:4|B05:4|B08:3|B12:2|B11:2|B04:1|B14:1
P118,雨宫天,B批,圣骑士,奶骑,治疗,优秀,235,0,235,7,2.98,7,2.98,25,10.64,1439,262.2,7035.4,0,0,1439,7035.4,0,0,295,9152,23,1.6,19,44,3.06,0,0,0,0,永不主动退队,,
P119,辉夜萨麻,B批,萨满,奶萨,治疗,中上,93,0,93,1,1.08,1,1.08,2,2.15,441,232.2,6151.4,0,0,441,6151.4,0,0,264,8083,12,2.72,10,29,6.58,19,20.43,0,2,正常,借故离开:7|直接退团:6|战术下线:6,B11:9|B12:5|B13:3|B08:2
P120,安德罗波夫,B批,死亡骑士,邪DK,近战DPS,顶级,803,538,265,57,7.1,54,6.72,151,18.8,10698,8483,0,10698,8483,0,0,0,0,11238,0,66,0.62,63,108,1.01,201,25.03,0,0,特殊事件退队,直接退团:78|战术下线:59|借故离开:52|违规封号:12,B11:39|B12:35|B05:25|B08:22|B02:20|B10:20|B13:9|B04:9|B03:6|B09:6|B14:4|B07:3|B06:2|B01:1
P121,孤独的猎心者,C批,猎人,射击猎,远程DPS,优秀,220,163,57,12,5.45,12,5.45,51,23.18,3281,8105.9,0,3281,8105.9,0,0,0,0,10364,0,24,0.73,22,38,1.16,38,17.27,0,0,小概率退队,战术下线:26|直接退团:12,B11:8|B05:6|B08:6|B13:4|B12:4|B02:4|B10:3|B09:1|B04:1|B14:1
P122,幻听山河水,C批,德鲁伊,奶德,治疗,顶级,654,575,79,55,8.41,52,7.95,157,24.01,10526,289.2,7318.5,0,0,10526,7318.5,0,0,321,10436,93,0.88,86,123,1.17,195,29.82,0,4,条件退队,开喷退团:156|直接退团:39,B11:41|B12:40|B08:25|B05:21|B10:21|B13:19|B02:8|B04:6|B03:5|B09:3|B06:3|B14:3
P123,汐月,C批,牧师,神牧,治疗,普通,700,661,39,20,2.86,16,2.29,62,8.86,10397,230.2,5879.2,0,0,10397,5879.2,0,0,265,8460,368,3.54,342,647,6.22,296,42.29,0,4,条件退队,直接退团:108|借故离开:104|战术下线:84,B05:69|B11:57|B10:53|B12:36|B08:27|B02:17|B04:13|B03:11|B09:7|B13:5|B07:1
P124,汐月,C批,牧师,神牧,治疗,顶级,743,692,51,45,6.06,43,5.79,152,20.46,12388,267,6758.3,0,0,12388,6758.3,0,0,303,9707,118,0.95,109,126,1.02,225,30.28,0,3,条件退队,开喷退团:178|直接退团:47,B11:47|B12:43|B10:34|B05:28|B08:28|B13:17|B02:14|B03:7|B04:3|B14:2|B09:1|B07:1
P125,偶是小鸽鸽,C批,萨满,奶萨,治疗,中上,1145,1015,130,48,4.19,45,3.93,185,16.16,18028,236.8,6336.8,0,0,18028,6336.8,0,0,269,9348,312,1.73,296,488,2.71,368,32.14,0,0,小概率退队,直接退团:161|借故离开:111|战术下线:96,B11:81|B12:67|B05:57|B10:54|B08:44|B02:20|B13:15|B03:14|B04:9|B14:3|B09:3|B07:1
P126,彼岸星辰,C批,术士,毁灭术,远程DPS,中上,717,555,162,18,2.51,17,2.37,90,12.55,10403,6770.2,0,10403,6770.2,0,0,0,0,9214,0,228,2.19,203,695,6.68,185,25.8,0,0,小概率退队,直接退团:72|借故离开:58|战术下线:55,B10:37|B05:36|B12:32|B11:26|B08:22|B02:11|B13:9|B04:5|B03:4|B09:2|B14:1
P127,小香批,C批,猎人,兽王猎,远程DPS,中上,192,137,55,7,3.65,7,3.65,26,13.54,2578,7177.2,0,2578,7177.2,0,0,0,0,9006,0,39,1.51,35,104,4.03,54,28.13,0,0,小概率退队,开喷退团:44|直接退团:10,B11:12|B05:11|B10:8|B02:7|B12:6|B13:5|B03:1|B08:1|B06:1|B09:1|B04:1
P128,理查德帕克,C批,战士,狂暴战,近战DPS,顶级,1901,1821,80,97,5.1,25,1.32,54,2.84,16257,9246.5,0,16257,9246.5,0,0,0,0,11890,0,92,0.57,79,92,0.57,1663,87.48,0,3,条件退队,直接退团:1636|违规封号:27,B05:316|B08:222|B10:213|B11:183|B02:163|B12:116|B09:104|B04:104|B03:66|B07:49|B01:48|B13:40|B06:37|B14:2
P129,开狂暴做面包,C批,法师,冰法,远程DPS,普通,522,386,136,22,4.21,17,3.26,69,13.22,7376,7110.5,0,7376,7110.5,0,0,0,0,9419,0,162,2.2,139,393,5.33,130,24.9,0,1,正常,直接退团:59|借故离开:39|战术下线:32,B12:23|B10:22|B05:20|B11:18|B08:14|B13:11|B02:7|B03:6|B04:4|B09:3|B14:2
P130,偷心蔡徐坤,C批,盗贼,战斗贼,近战DPS,优秀,1411,1204,207,59,4.18,59,4.18,225,15.95,23476,6949,0,23476,6949,0,0,0,0,10344,0,442,1.88,393,1249,5.32,0,0,0,0,永不主动退队,,
P131,jazzmine,C批,法师,冰法,远程DPS,中上,1008,775,233,50,4.96,50,4.96,197,19.54,16103,7733.2,0,16103,7733.2,0,0,0,0,10243,0,242,1.5,217,486,3.02,10,0.99,10,0,永不主动退队,分崩离析:10,B13:5|B14:2|B11:2|B12:1
